original,translated
a,to
algo,something
algunas,some
ante,in
antes,before
como,as
con,with
contra,against
cual,which
cuando,when
de,of
desde,from
donde,where
durante,during
e,and
el,he
ella,she
ellas,they
entre,between
era,was
erais,you
eran,were
eres,are
es,is
esa,that
esas,those
esta,this
estad,state
estada,stay
estadas,states
estamos,we
estando,being
estar,be
estará,will
estaré,i
estaría,would
estos,these
fuera,out
fuimos,went
ha,ha
habida,given
habido,been
habidos,had
habiendo,having
habrá,there
hasta,until
hayamos,have
hayas,beech
hube,hub
la,the
les,them
lo,it
me,me
mi,my
mucho,a
muchos,many
muy,very
más,further
mía,mine
nada,nothing
ni,neither
no,no
nos,us
nuestra,our
o,either
otra,other
otras,others
para,for
pero,but
poco,bit
por,by
porque,because
quien,who
sentid,feel
sentida,heartfelt
sentido,sense
sentidos,senses
sin,without
sintiendo,feeling
sobre,about
soy,am
su,his
sus,their
sí,yeah
también,also
tanto,so
te,tea
tiene,has
todo,all
tus,your
tuya,yours
uno,one
ya,already
