original,translated
a,to
abbia,have
abbiamo,we
agl,agl
al,al
all,all
alla,at
anche,also
avendo,having
avesse,had
avessero,they
avessi,i
aveste,you
avrebbe,would
avrà,will
c,c
che,that
chi,who
ci,there
coi,with
come,as
contro,against
cui,which
da,from
dagl,dagl
dagli,give
dai,come
degl,of
dov,where
e,and
era,era
essendo,being
faccia,face
facciano,do
facciate,facades
facendo,doing
facesse,did
faceva,he
farò,lighthouse
fosse,is
fu,it
gli,the
ha,ha
in,in
lei,she
lui,him
ma,but
mi,me
mia,my
ne,no
negl,negl
noi,us
non,not
nostra,our
o,or
per,for
perché,why
più,more
quanta,how
quelle,those
questa,this
queste,these
se,if
sei,six
si,yes
siate,be
stando,standing
starò,stay
stava,was
stesse,themselves
stessero,were
stette,stayed
su,on
sua,its
sue,his
sugl,sug
tra,between
tua,your
tue,yours
tutti,everyone
un,a
