original,translated
ai,ai
aie,ouch
aient,have
as,ace
au,at
aura,will
auraient,would
aux,to
avaient,had
avec,with
avions,planes
ayant,having
ayants,holders
c,c
ce,this
ces,these
d,d
dans,in
de,of
elle,she
es,are
est,east
et,and
eux,them
furent,were
fus,was
fussions,merge
fûmes,smoked
fûtes,barrels
il,he
ils,they
j,j
je,i
l,l
la,there
le,the
leur,their
lui,him
m,m
ma,my
mais,but
me,me
même,even
n,n
ne,born
nos,our
nous,we
ou,or
par,by
pas,not
pour,for
qu,that
qui,who
s,s
sa,its
se,se
ses,his
soient,be
soit,either
son,her
suis,am
sur,on
t,t
ta,your
te,you
un,a
y,y
à,has
étant,being
étants,beings
été,summer
étées,summers
