original,translated
aber,but
alle,all
allem,everything
allen,everyone
als,as
also,so
am,on
an,to
ander,at
andere,other
anderen,others
anderm,otherwise
andern,change
anders,different
auch,also
aus,out
bin,am
bis,until
bist,are
da,there
damit,with
dann,then
das,the
dass,that
dasselbe,same
dazu,in
dein,your
deinem,yours
dem,dem
denn,because
derer,those
des,des
dessen,whose
dich,you
dies,this
durch,through
ein,a
eine,one
einig,agree
einige,some
einmal,once
er,he
es,it
etwas,something
für,for
gegen,against
gewesen,been
hab,have
hat,has
hatte,had
hier,here
hinter,behind
ich,i
ihm,him
ihnen,them
ihr,her
ihrem,theirs
ihres,hers
indem,by
ins,into
ist,is
jede,every
jedes,each
jetzt,now
kann,can
kein,no
keinen,none
könnte,could
machen,make
man,man
mein,my
meine,mine
meinen,mean
mich,me
muss,must
nach,after
nicht,not
nichts,nothing
noch,still
nur,only
ob,whether
oder,or
ohne,without
sehr,very
sein,be
seine,his
selbst,himself
sich,itself
sie,she
solche,such
soll,should
sondern,rather
um,around
und,and
uns,us
unser,our
unserem,ours
unter,under
viel,much
vom,from
vor,before
war,was
waren,were
was,what
weg,away
weiter,further
welche,which
wenn,if
werde,become
wie,how
wieder,again
will,wants
wir,we
wird,becomes
wirst,will
wo,where
wollen,want
wollte,wanted
während,while
würde,would
zwischen,between
über,above
