original,translated
ء,and
آ,oh
آب,dad
آذار,march
آض,aad
آمينَ,amen
آناء,vessel
آنفا,above
آه,yes
آها,aha
آي,any
أ,a
أبدا,never
أبريل,april
أبو,abu
أجل,okay
أجمع,all
أحد,sunday
أخبر,tell
أخذ,take
أخو,brother
أربع,four
أربعاء,wed
أرى,show
أسكن,i
أصبح,become
أصلا,originally
أضحى,adha
أطعم,feed
أعطى,give
أعلم,know
أغسطس,august
أف,af
أفريل,avril
أفٍّ,ugh
أقل,less
أكتوبر,october
أكثر,more
أل,the
ألا,unless
ألف,one
ألفى,two
أم,or
أما,as
أمام,before
أمامك,in
أمد,extended
أمس,yesterday
أمسى,evening
أمّا,either
أن,that
أنبأ,forebode
أنت,you
أنشأ,create
أهلا,hello
أوت,out
أوشك,almost
أول,first
أولئك,those
أولاء,these
أيا,aya
أيار,may
أيضا,also
أيلول,september
أين,where
أينما,wherever
أيها,hey
أيّان,ian
إذ,so
إذا,if
إذن,permission
إزاء,about
إلى,to
إليكن,here
إنما,but
إيانا,us
إياه,him
إياها,it
إياهما,both
إياي,me
ابتدأ,he
اثني,praise
اخلولق,creature
اربعون,forty
ارتدّ,recoil
الآن,now
الألاء,alaa
الألى,automatic
الذين,who
اللاتي,lati
اللتيا,altia
اللتين,which
انبرى,get
ب,for
بؤسا,miserable
بئس,misery
باء,b
بات,pat
بخ,squirt
بطآن,blanket
بعد,after
بعدا,far
بعض,some
بغتة,suddenly
بك,with
بكما,how
بكن,they
بلى,indeed
بين,between
ت,t
تارة,sometimes
تاسع,ninth
تانِ,again
تانِك,tank
تبدّل,change
تجاه,towards
تحت,under
تحوّل,transformation
تسع,nine
تسعون,ninety
تعسا,unhappy
تلقاء,on
تموز,july
ته,teh
تين,fig
تينك,tink
ث,th
ثاء,tha
ثالث,third
ثامن,eighth
ثان,second
ثلاث,three
ثلاثاء,tuesday
ثلاثون,thirty
ثم,then
ثمان,eight
ثمانون,eighty
ثمة,there
ج,c
جانفي,january
جعل,make
جلل,great
جمعة,friday
جنيه,fairy
جوان,joan
جير,lime
جيم,jim
ح,h
حادي,sharp
حار,hot
حاشا,god
حاي,hai
حبذا,preferably
حبيب,dear
حتى,until
حجا,hajj
حرى,apt
حزيران,june
حسب,according
حقا,truly
حمدا,thank
حين,when
حيَّ,alive
حَذارِ,beware
خ,kh
خاء,kha
خاصة,especially
خال,maternal
خامس,fifth
خبَّر,news
خلا,leave
خلافا,unlike
خلف,behind
خمس,five
خمسون,fifty
خميس,thursday
د,d
درهم,dirham
دولار,dollar
دون,don
دونك,donk
ديسمبر,december
دينار,dinar
ذ,y
ذات,self
ذان,than
ذه,this
ذهب,gold
ذو,dhu
ذوا,dhawa
ذواتي,myself
ر,r
رأى,opinion
راء,ra
رابع,fourth
راح,gone
رجع,back
رزق,livelihood
ريال,sar
ريث,wraith
رُبَّ,lord
ز,g
زود,provide
س,s
سابع,seventh
سادس,sixth
سبت,saturday
سبحان,glory
سبع,seven
سبعون,seventy
ست,six
ستون,sixty
سحقا,screw
سرا,secretly
سرعان,soon
سقى,quench
سنتيم,cents
سوف,will
سين,sin
ش,sh
شباط,february
شبه,semi
شمال,north
شيكل,nis
شين,shane
ص,p
صباح,morning
صبر,patience
صبرا,be
صدقا,honestly
صهٍ,shut
ض,z
ضاد,anti
طاق,taq
طفق,enough
طَق,knock
ظلّ,shadow
عاشر,tenth
عامة,general
عجبا,wow
عدا,except
عدَّ,counting
عسى,maybe
عشر,ten
عشرون,twenty
عل,perhaps
علق,comment
علم,science
عليك,upon
عليه,attic
عوض,awad
عيانا,eyesight
عين,eye
عَدَسْ,lentils
غالبا,mostly
غدا,tomorrow
غير,not
غين,gain
ف,f
فرادى,individually
فضلا,please
فلا,no
فو,fu
فيم,fem
فيما,while
ق,q
قرش,shark
قطّ,cat
قلما,rarely
ك,your
كأي,like
كانون,canon
كذا,such
كرب,distress
كسا,clothes
كلما,whenever
كيت,kate
كيفما,however
كِخ,what
لئن,although
لام,l
لدن,plastic
لسنا,we
لم,did
لها,she
لهن,their
لولا,lola
لوما,loma
ليرة,lira
ليسا,lisa
م,m
مائة,hundred
مازال,still
ماي,water
مذ,since
مرّة,time
معاذ,protection
ممن,from
مه,meh
مهما,whatever
ميم,mim
ن,n
نفس,same
نوفمبر,november
نون,noun
نيف,nev
نَخْ,nach
ه,e
ها,ha
هاته,bring
هاتي,come
هبّ,blast
هذي,rave
هكذا,thus
هل,do
هللة,halala
همزة,hamza
هيا,go
هيت,hit
وا,wa
وجد,found
ورد,rose
ولو,even
وما,gesticulate
وَيْ,wey
ياء,j
يمين,right
ين,yen
يوان,yuan
يورو,euro
